US_English en.us
UK_English en.gb
French fr.fr
English_India en.in
German de.de
German_Austria de.at
Greek el.gr
Greek_Cyprus el.cy
Italian it.it
Japanese jp.ja
Lithuanian lt.lt
Polish pl.pl
Portugese pt.pt
Portugese_Brazil pt.br
Swedish sv.se
Slovak sk.sk
Croatian hr.hr
Spanish_Chile es.cl
Spanish_Argentina es.ar
Bulgarian bg.bg
Icelandic is.is
Estonian et.ee
Latvian lv.lv
Belarusian be.by
Czech cs.cz
Spanish_Cuba es.cu
Hindi hi.in
Romanian ro.ro
Turkish tr.tr
Ukraninan uk.ua
Urdu ur.pk
Arabic_Syria ar.sy
Spanish_Mexico es.mx
