Wed May 26 09:33:40 2021    output.dat

         28906884 function calls (28887370 primitive calls) in 15.024 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   929107    2.851    0.000    4.590    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:2944(_update_from)
   584740    1.581    0.000    9.541    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:3209(__getitem__)
   397126    1.042    0.000    1.042    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\json\decoder.py:343(raw_decode)
   467416    0.846    0.000    3.990    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:2970(__array_finalize__)
  4177531    0.814    0.000    0.814    0.000 {method 'update' of 'dict' objects}
  7592713    0.796    0.000    0.796    0.000 {built-in method builtins.getattr}
   397126    0.494    0.000    2.008    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\json\decoder.py:332(decode)
   397127    0.493    0.000    0.493    0.000 C:\Users\User\PycharmProjects\FINAL\Dictionaries.py:11(getdictionarybysuffix)
        1    0.490    0.490    3.777    3.777 C:\Users\User\PycharmProjects\FINAL\Dictionaries.py:16(createAllWordToID)
  4461003    0.482    0.000    0.482    0.000 {built-in method builtins.isinstance}
1127901/1122428    0.464    0.000    4.422    0.000 {method 'view' of 'numpy.ndarray' objects}
   797422    0.358    0.000    0.358    0.000 {method 'match' of 're.Pattern' objects}
   397126    0.355    0.000    2.478    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\json\__init__.py:299(loads)
        1    0.302    0.302    8.762    8.762 C:\Users\User\PycharmProjects\FINAL\SmoothingAlgorithm.py:16(smoothFinalpose)
   461034    0.289    0.000    0.289    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        3    0.288    0.096    0.316    0.105 {method 'readlines' of '_io._IOBase' objects}
   460119    0.287    0.000    0.287    0.000 {method 'view' of 'numpy.generic' objects}
   651227    0.272    0.000    0.456    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:3633(_get_data)
   605473    0.216    0.000    0.216    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:3401(dtype)
   584602    0.200    0.000    0.269    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:3223(_is_scalar)
   459629    0.197    0.000    0.304    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:778(is_string_or_list_of_strings)
   459629    0.182    0.000    0.469    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:7140(reshape)
   469357    0.180    0.000    0.180    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:3417(shape)
